,Abilities,Attack,Base EXP,Base Happiness,Catch rate,Defense,EV yield,Egg Groups,Egg cycles,Gender,Growth Rate,HP,Height,Japanese,Local №,National №,Sp. Atk,Sp. Def,Species,Speed,Type,Weight,desc,name
609,Mold BreakerRivalryUnnerve (hidden ability),87,64,35 (lower than normal),"75 (9.8% with PokBall, full HP)",60, 1 Attack," Dragon, Monster ","41 (minimum 10,455 steps)","50% male, 50% female",Slow,46,2′0″ (0.61m),Kibago,"116 (Black,White)183 (Black 2,White 2)148 (X,Y)",610,30,40,Tusk Pokmon,57, Dragon ,39.7 lbs (18.0 kg), Axew is a Dragon type Pokmon introduced in Generation 5. It is known as the Tusk Pokmon. ,Axew
610,Mold BreakerRivalryUnnerve (hidden ability),117,144,35 (lower than normal),"60 (7.8% with PokBall, full HP)",70, 2 Attack," Dragon, Monster ","41 (minimum 10,455 steps)","50% male, 50% female",Slow,66,3′3″ (0.99m),Onondo,"117 (Black,White)184 (Black 2,White 2)149 (X,Y)",611,40,50,Axe Jaw Pokmon,67, Dragon ,79.4 lbs (36.0 kg), Fraxure is a Dragon type Pokmon introduced in Generation 5. It is known as the Axe Jaw Pokmon. ,Fraxure
611,Mold BreakerRivalryUnnerve (hidden ability),147,243,35 (lower than normal),"45 (5.9% with PokBall, full HP)",90, 3 Attack," Dragon, Monster ","41 (minimum 10,455 steps)","50% male, 50% female",Slow,76,5′11″ (1.80m),Ononokusu,"118 (Black,White)185 (Black 2,White 2)150 (X,Y)",612,60,70,Axe Jaw Pokmon,97, Dragon ,232.6 lbs (105.5 kg), Haxorus is a Dragon type Pokmon introduced in Generation 5. It is known as the Axe Jaw Pokmon. ,Haxorus
612,Snow CloakRattled (hidden ability),70,61,70 (normal),"120 (15.7% with PokBall, full HP)",40, 1 Attack, Field ,"21 (minimum 5,355 steps)","50% male, 50% female",Medium Fast,55,1′8″ (0.51m),Kumashun,"119 (Black,White)195 (Black 2,White 2)081 (X,Y)",613,60,40,Chill Pokmon,40, Ice ,18.7 lbs (8.5 kg), Cubchoo is an Ice type Pokmon introduced in Generation 5. It is known as the Chill Pokmon. ,Cubchoo
613,Snow CloakSwift Swim (hidden ability),110,170,70 (normal),"60 (7.8% with PokBall, full HP)",80, 2 Attack, Field ,"21 (minimum 5,355 steps)","50% male, 50% female",Medium Fast,95,8′6″ (2.59m),Tsunbea,"120 (Black,White)196 (Black 2,White 2)082 (X,Y)",614,70,80,Freezing Pokmon,50, Ice ,573.2 lbs (260.0 kg), Beartic is an Ice type Pokmon introduced in Generation 5. It is known as the Freezing Pokmon. ,Beartic
614,Levitate,50,170,70 (normal),"25 (3.3% with PokBall, full HP)",30, 2 Special Defense, Mineral ,"26 (minimum 6,630 steps)",Genderless,Medium Fast,70,3′7″ (1.09m),Furijio,"121 (Black,White)197 (Black 2,White 2)111 (X,Y)",615,95,135,Crystallizing Pokmon,105, Ice ,326.3 lbs (148.0 kg), Cryogonal is an Ice type Pokmon introduced in Generation 5. It is known as the Crystallizing Pokmon. ,Cryogonal
615,HydrationShell ArmorOvercoat (hidden ability),40,61,70 (normal),"200 (26.1% with PokBall, full HP)",85, 1 Defense, Bug ,"16 (minimum 4,080 steps)","50% male, 50% female",Medium Fast,50,1′4″ (0.41m),Chobomaki,"122 (Black,White)157 (Black 2,White 2)024 (X,Y)",616,40,65,Snail Pokmon,25, Bug ,17 lbs (7.7 kg), Shelmet is a Bug type Pokmon introduced in Generation 5. It is known as the Snail Pokmon. ,Shelmet
616,HydrationSticky HoldUnburden (hidden ability),70,173,70 (normal),"75 (9.8% with PokBall, full HP)",40, 2 Speed, Bug ,"16 (minimum 4,080 steps)","50% male, 50% female",Medium Fast,80,2′7″ (0.79m),Agiruda,"123 (Black,White)158 (Black 2,White 2)025 (X,Y)",617,100,60,Shell Out Pokmon,145, Bug ,55.8 lbs (25.3 kg), Accelgor is a Bug type Pokmon introduced in Generation 5. It is known as the Shell Out Pokmon. ,Accelgor
617,LimberStaticSand Veil (hidden ability),66,165,70 (normal),"75 (9.8% with PokBall, full HP)",84, 2 HP," Amorphous, Water 1 ","21 (minimum 5,355 steps)","50% male, 50% female",Medium Fast,109,2′4″ (0.71m),Maggyo,"124 (Black,White)231 (Black 2,White 2)039 (X,Y)",618,81,99,Trap Pokmon,32, Ground Electric ,24.3 lbs (11.0 kg), Stunfisk is a Ground/Electric type Pokmon introduced in Generation 5. It is known as the Trap Pokmon. ,Stunfisk
618,Inner FocusRegeneratorReckless (hidden ability),85,70,70 (normal),"180 (23.5% with PokBall, full HP)",50, 1 Attack," Field, Human-Like ","26 (minimum 6,630 steps)","50% male, 50% female",Medium Slow,45,2′11″ (0.89m),Kojofu,"125 (Black,White)219 (Black 2,White 2)003 (X,Y)",619,55,50,Martial Arts Pokmon,65, Fighting ,44.1 lbs (20.0 kg), Mienfoo is a Fighting type Pokmon introduced in Generation 5. It is known as the Martial Arts Pokmon. ,Mienfoo
619,Inner FocusRegeneratorReckless (hidden ability),125,179,70 (normal),"45 (5.9% with PokBall, full HP)",60, 2 Attack," Field, Human-Like ","26 (minimum 6,630 steps)","50% male, 50% female",Medium Slow,65,4′7″ (1.40m),Kojondo,"126 (Black,White)220 (Black 2,White 2)004 (X,Y)",620,95,60,Martial Arts Pokmon,105, Fighting ,78.3 lbs (35.5 kg), Mienshao is a Fighting type Pokmon introduced in Generation 5. It is known as the Martial Arts Pokmon. ,Mienshao
620,Rough SkinSheer ForceMold Breaker (hidden ability),120,170,70 (normal),"45 (5.9% with PokBall, full HP)",90, 2 Attack," Dragon, Monster ","31 (minimum 7,905 steps)","50% male, 50% female",Medium Fast,77,5′3″ (1.60m),Kurimugan,"127 (Black,White)270 (Black 2,White 2)141 (X,Y)",621,60,90,Cave Pokmon,48, Dragon ,306.4 lbs (139.0 kg), Druddigon is a Dragon type Pokmon introduced in Generation 5. It is known as the Cave Pokmon. ,Druddigon
621,Iron FistKlutzNo Guard (hidden ability),74,61,70 (normal),"190 (24.8% with PokBall, full HP)",50, 1 Attack, Mineral ,"26 (minimum 6,630 steps)",Genderless,Medium Fast,59,3′3″ (0.99m),Gobitto,"128 (Black,White)271 (Black 2,White 2)091 (X,Y)",622,35,50,Automaton Pokmon,35, Ground Ghost ,202.8 lbs (92.0 kg), Golett is a Ground/Ghost type Pokmon introduced in Generation 5. It is known as the Automaton Pokmon. ,Golett
622,Iron FistKlutzNo Guard (hidden ability),124,169,70 (normal),"90 (11.8% with PokBall, full HP)",80, 2 Attack, Mineral ,"26 (minimum 6,630 steps)",Genderless,Medium Fast,89,9′2″ (2.79m),Gorugu,"129 (Black,White)272 (Black 2,White 2)092 (X,Y)",623,55,80,Automaton Pokmon,55, Ground Ghost ,727.5 lbs (330.0 kg), Golurk is a Ground/Ghost type Pokmon introduced in Generation 5. It is known as the Automaton Pokmon. ,Golurk
623,DefiantInner FocusPressure (hidden ability),85,68,35 (lower than normal),"120 (15.7% with PokBall, full HP)",70, 1 Attack, Human-Like ,"21 (minimum 5,355 steps)","50% male, 50% female",Medium Fast,45,1′8″ (0.51m),Komatana,"130 (Black,White)223 (Black 2,White 2)048 (X,Y)",624,40,40,Sharp Blade Pokmon,60, Dark Steel ,22.5 lbs (10.2 kg), Pawniard is a Dark/Steel type Pokmon introduced in Generation 5. It is known as the Sharp Blade Pokmon. ,Pawniard
624,DefiantInner FocusPressure (hidden ability),125,172,35 (lower than normal),"45 (5.9% with PokBall, full HP)",100, 2 Attack, Human-Like ,"21 (minimum 5,355 steps)","50% male, 50% female",Medium Fast,65,5′3″ (1.60m),Kirikizan,"131 (Black,White)224 (Black 2,White 2)049 (X,Y)",625,60,70,Sword Blade Pokmon,70, Dark Steel ,154.3 lbs (70.0 kg), Bisharp is a Dark/Steel type Pokmon introduced in Generation 5. It is known as the Sword Blade Pokmon. ,Bisharp
625,RecklessSap SipperSoundproof (hidden ability),110,172,70 (normal),"45 (5.9% with PokBall, full HP)",95, 2 Attack, Field ,"21 (minimum 5,355 steps)","50% male, 50% female",Medium Fast,95,5′3″ (1.60m),Baffuron,"132 (Black,White)269 (Black 2,White 2)",626,40,95,Bash Buffalo Pokmon,55, Normal ,208.6 lbs (94.6 kg), Bouffalant is a Normal type Pokmon introduced in Generation 5. It is known as the Bash Buffalo Pokmon. ,Bouffalant
626,Keen EyeSheer ForceHustle (hidden ability),83,70,70 (normal),"190 (24.8% with PokBall, full HP)",50, 1 Attack, Flying ,"21 (minimum 5,355 steps)","100% male, 0% female",Slow,70,1′8″ (0.51m),Washibon,"133 (Black,White)109 (Black 2,White 2)",627,37,50,Eaglet Pokmon,60, Normal Flying ,23.1 lbs (10.5 kg), Rufflet is a Normal/Flying type Pokmon introduced in Generation 5. It is known as the Eaglet Pokmon. ,Rufflet
627,Keen EyeSheer ForceDefiant (hidden ability),123,179,70 (normal),"60 (7.8% with PokBall, full HP)",75, 2 Attack, Flying ,"21 (minimum 5,355 steps)","100% male, 0% female",Slow,100,4′11″ (1.50m),Woguru,"134 (Black,White)110 (Black 2,White 2)",628,57,75,Valiant Pokmon,80, Normal Flying ,90.4 lbs (41.0 kg), Braviary is a Normal/Flying type Pokmon introduced in Generation 5. It is known as the Valiant Pokmon. ,Braviary
628,Big PecksOvercoatWeak Armor (hidden ability),55,74,35 (lower than normal),"190 (24.8% with PokBall, full HP)",75, 1 Defense, Flying ,"21 (minimum 5,355 steps)","0% male, 100% female",Slow,70,1′8″ (0.51m),Baruchai,"135 (Black,White)111 (Black 2,White 2)",629,45,65,Diapered Pokmon,60, Dark Flying ,19.8 lbs (9.0 kg), Vullaby is a Dark/Flying type Pokmon introduced in Generation 5. It is known as the Diapered Pokmon. ,Vullaby
629,Big PecksOvercoatWeak Armor (hidden ability),65,179,35 (lower than normal),"60 (7.8% with PokBall, full HP)",105, 2 Special Attack, Flying ,"21 (minimum 5,355 steps)","0% male, 100% female",Slow,110,3′11″ (1.19m),Barujina,"136 (Black,White)112 (Black 2,White 2)",630,55,95,Bone Vulture Pokmon,80, Dark Flying ,87.1 lbs (39.5 kg), Mandibuzz is a Dark/Flying type Pokmon introduced in Generation 5. It is known as the Bone Vulture Pokmon. ,Mandibuzz
630,Flash FireGluttonyWhite Smoke (hidden ability),97,169,70 (normal),"90 (11.8% with PokBall, full HP)",66, 2 Special Attack, Field ,"21 (minimum 5,355 steps)","50% male, 50% female",Medium Fast,85,4′7″ (1.40m),Kuitaran,"137 (Black,White)193 (Black 2,White 2)105 (X,Y)",631,105,66,Anteater Pokmon,65, Fire ,127.9 lbs (58.0 kg), Heatmor is a Fire type Pokmon introduced in Generation 5. It is known as the Anteater Pokmon. ,Heatmor
631,HustleSwarmTruant (hidden ability),109,169,70 (normal),"90 (11.8% with PokBall, full HP)",112, 2 Defense, Bug ,"21 (minimum 5,355 steps)","50% male, 50% female",Medium Fast,58,1′0″ (0.30m),Aianto,"138 (Black,White)194 (Black 2,White 2)106 (X,Y)",632,48,48,Iron Ant Pokmon,109, Bug Steel ,72.8 lbs (33.0 kg), Durant is a Bug/Steel type Pokmon introduced in Generation 5. It is known as the Iron Ant Pokmon. ,Durant
632,Hustle,65,60,35 (lower than normal),"45 (5.9% with PokBall, full HP)",50, 1 Attack, Dragon ,"41 (minimum 10,455 steps)","50% male, 50% female",Slow,52,2′7″ (0.79m),Monozu,"139 (Black,White)273 (Black 2,White 2)142 (X,Y)",633,45,50,Irate Pokmon,38, Dark Dragon ,38.1 lbs (17.3 kg), Deino is a Dark/Dragon type Pokmon introduced in Generation 5. It is known as the Irate Pokmon. ,Deino
633,Hustle,85,147,35 (lower than normal),"45 (5.9% with PokBall, full HP)",70, 2 Attack, Dragon ,"41 (minimum 10,455 steps)","50% male, 50% female",Slow,72,4′7″ (1.40m),Jiheddo,"140 (Black,White)274 (Black 2,White 2)143 (X,Y)",634,65,70,Hostile Pokmon,58, Dark Dragon ,110.2 lbs (50.0 kg), Zweilous is a Dark/Dragon type Pokmon introduced in Generation 5. It is known as the Hostile Pokmon. ,Zweilous
634,Levitate,105,270,35 (lower than normal),"45 (5.9% with PokBall, full HP)",90, 3 Special Attack, Dragon ,"41 (minimum 10,455 steps)","50% male, 50% female",Slow,92,5′11″ (1.80m),Sazandora,"141 (Black,White)275 (Black 2,White 2)144 (X,Y)",635,125,90,Brutal Pokmon,98, Dark Dragon ,352.7 lbs (160.0 kg), Hydreigon is a Dark/Dragon type Pokmon introduced in Generation 5. It is known as the Brutal Pokmon. ,Hydreigon
635,Flame BodySwarm (hidden ability),85,72,70 (normal),"45 (5.9% with PokBall, full HP)",55, 1 Attack, Bug ,"41 (minimum 10,455 steps)","50% male, 50% female",Slow,55,3′7″ (1.09m),Meraruba,"142 (Black,White)171 (Black 2,White 2)",636,50,55,Torch Pokmon,60, Bug Fire ,63.5 lbs (28.8 kg), Larvesta is a Bug/Fire type Pokmon introduced in Generation 5. It is known as the Torch Pokmon. ,Larvesta
636,Flame BodySwarm (hidden ability),60,248,70 (normal),"15 (2.0% with PokBall, full HP)",65, 3 Special Attack, Bug ,"41 (minimum 10,455 steps)","50% male, 50% female",Slow,85,5′3″ (1.60m),Urugamosu,"143 (Black,White)172 (Black 2,White 2)",637,135,105,Sun Pokmon,100, Bug Fire ,101.4 lbs (46.0 kg), Volcarona is a Bug/Fire type Pokmon introduced in Generation 5. It is known as the Sun Pokmon. ,Volcarona
637,Justified,90,261,35 (lower than normal),"3 (0.4% with PokBall, full HP)",129, 3 Defense, Undiscovered ,"81 (minimum 20,655 steps)",Genderless,Slow,91,6′11″ (2.11m),Kobaruon,"144 (Black,White)225 (Black 2,White 2)",638,90,72,Iron Will Pokmon,108, Steel Fighting ,551.2 lbs (250.0 kg), Cobalion is a Steel/Fighting type Pokmon introduced in Generation 5. It is known as the Iron Will Pokmon. ,Cobalion
638,Justified,129,261,35 (lower than normal),"3 (0.4% with PokBall, full HP)",90, 3 Attack, Undiscovered ,"81 (minimum 20,655 steps)",Genderless,Slow,91,6′3″ (1.91m),Terakion,"145 (Black,White)226 (Black 2,White 2)",639,72,90,Cavern Pokmon,108, Rock Fighting ,573.2 lbs (260.0 kg), Terrakion is a Rock/Fighting type Pokmon introduced in Generation 5. It is known as the Cavern Pokmon. ,Terrakion
639,Justified,90,261,35 (lower than normal),"3 (0.4% with PokBall, full HP)",72, 3 Special Defense, Undiscovered ,"81 (minimum 20,655 steps)",Genderless,Slow,91,6′7″ (2.01m),Birujion,"146 (Black,White)227 (Black 2,White 2)",640,90,129,Grassland Pokmon,108, Grass Fighting ,440.9 lbs (200.0 kg), Virizion is a Grass/Fighting type Pokmon introduced in Generation 5. It is known as the Grassland Pokmon. ,Virizion
640,PranksterDefiant (hidden ability),115,261,90 (higher than normal),"3 (0.4% with PokBall, full HP)",70, 3 Attack, Undiscovered ,"121 (minimum 30,855 steps)","100% male, 0% female",Slow,79,4′11″ (1.50m),Torunerosu,"147 (Black,White)198 (Black 2,White 2)",641,125,80,Cyclone Pokmon,111, Flying ,138.9 lbs (63.0 kg), Tornadus is a Flying type Pokmon introduced in Generation 5. It is known as the Cyclone Pokmon. ,Tornadus
641,PranksterDefiant (hidden ability),115,261,90 (higher than normal),"3 (0.4% with PokBall, full HP)",70, 3 Attack, Undiscovered ,"121 (minimum 30,855 steps)","100% male, 0% female",Slow,79,4′11″ (1.50m),Borutorosu,"148 (Black,White)199 (Black 2,White 2)",642,125,80,Bolt Strike Pokmon,111, Electric Flying ,134.5 lbs (61.0 kg), Thundurus is an Electric/Flying type Pokmon introduced in Generation 5. It is known as the Bolt Strike Pokmon. ,Thundurus
642,Turboblaze,120,306,0 (lower than normal),"45 (5.9% with PokBall, full HP)",100, 3 Special Attack, Undiscovered ,"121 (minimum 30,855 steps)",Genderless,Slow,100,10′6″ (3.20m),Reshiramu,"149 (Black,White)295 (Black 2,White 2)",643,150,120,Vast White Pokmon,90, Dragon Fire ,727.5 lbs (330.0 kg), Reshiram is a Dragon/Fire type Pokmon introduced in Generation 5. It is known as the Vast White Pokmon. ,Reshiram
643,Teravolt,150,306,0 (lower than normal),"45 (5.9% with PokBall, full HP)",120, 3 Attack, Undiscovered ,"121 (minimum 30,855 steps)",Genderless,Slow,100,9′6″ (2.90m),Zekuromu,"150 (Black,White)296 (Black 2,White 2)",644,120,100,Deep Black Pokmon,90, Dragon Electric ,760.6 lbs (345.0 kg), Zekrom is a Dragon/Electric type Pokmon introduced in Generation 5. It is known as the Deep Black Pokmon. ,Zekrom
644,Sand ForceSheer Force (hidden ability),125,270,90 (higher than normal),"3 (0.4% with PokBall, full HP)",90, 3 Special Attack, Undiscovered ,"121 (minimum 30,855 steps)","100% male, 0% female",Slow,89,4′11″ (1.50m),Randorosu,"151 (Black,White)200 (Black 2,White 2)",645,115,80,Abundance Pokmon,101, Ground Flying ,149.9 lbs (68.0 kg), Landorus is a Ground/Flying type Pokmon introduced in Generation 5. It is known as the Abundance Pokmon. ,Landorus
645,Pressure,130,297,0 (lower than normal),"3 (0.4% with PokBall, full HP)",90," 1 HP, 1 Attack, 1 Special Attack", Undiscovered ,"121 (minimum 30,855 steps)",Genderless,Slow,125,9′10″ (3.00m),Kyuremu,"152 (Black,White)297 (Black 2,White 2)",646,130,90,Boundary Pokmon,95, Dragon Ice ,716.5 lbs (325.0 kg), Kyurem is a Dragon/Ice type Pokmon introduced in Generation 5. It is known as the Boundary Pokmon. ,Kyurem
646,Justified,72,261,35 (lower than normal),"3 (0.4% with PokBall, full HP)",90, 3 Special Attack, Undiscovered ,"81 (minimum 20,655 steps)",Genderless,Slow,91,4′7″ (1.40m),Kerudio,"153 (Black,White)298 (Black 2,White 2)",647,129,90,Colt Pokmon,108, Water Fighting ,106.9 lbs (48.5 kg), Keldeo is a Water/Fighting type Pokmon introduced in Generation 5. It is known as the Colt Pokmon. ,Keldeo
647,Serene Grace,77,270,100 (higher than normal),"3 (0.4% with PokBall, full HP)",77," 1 Special Attack, 1 Special Defense, 1 Speed", Undiscovered ,"121 (minimum 30,855 steps)",Genderless,Slow,100,2′0″ (0.61m),Meroetta,"154 (Black,White)299 (Black 2,White 2)",648,128,128,Melody Pokmon,90, Normal Psychic ,14.3 lbs (6.5 kg), Meloetta is a Normal/Psychic type Pokmon introduced in Generation 5. It is known as the Melody Pokmon. ,Meloetta
648,Download,120,270,0 (lower than normal),"3 (0.4% with PokBall, full HP)",95," 1 Attack, 1 Special Attack, 1 Speed", Undiscovered ,"121 (minimum 30,855 steps)",Genderless,Slow,71,4′11″ (1.50m),Genosekuto,"155 (Black,White)300 (Black 2,White 2)",649,120,95,Paleozoic Pokmon,99, Bug Steel ,181.9 lbs (82.5 kg), Genesect is a Bug/Steel type Pokmon introduced in Generation 5. It is known as the Paleozoic Pokmon. ,Genesect
649,OvergrowBulletproof (hidden ability),61,63,70 (normal),"45 (5.9% with PokBall, full HP)",65, 1 Defense, Field ,"21 (minimum 5,355 steps)","87.5% male, 12.5% female",Medium Slow,56,1′4″ (0.41m),Harimaron,"001 (X,Y)",650,48,45,Spiny Nut Pokmon,38, Grass ,19.8 lbs (9.0 kg)," Chespin is a Grass type Pokmon introduced in Generation 6. It is known as the Spiny Nut Pokmon. Chespin has a tough shell covering its head and back. Despite having a curious nature that tends to get it in trouble, Chespin keeps an optimistic outlook and doesn't worry about small details. Chespin evolves into Quilladin at level 16. ",Chespin
650,OvergrowBulletproof (hidden ability),78,142,70 (normal),"45 (5.9% with PokBall, full HP)",95, 2 Defense, Field ,"21 (minimum 5,355 steps)","87.5% male, 12.5% female",Medium Slow,61,2′4″ (0.71m),Haribogu,"002 (X,Y)",651,56,58,Spiny Armor Pokmon,57, Grass ,63.9 lbs (29.0 kg)," Quilladin is a Grass type Pokmon introduced in Generation 6. It is known as the Spiny Armor Pokmon. Upon evolution, the hard spikes on Quilladin's body grow even sturdier. Despite its prickly appearance, Quilladin is considered a gentle Pokmon that avoids battle. Quilladin evolves from Chespin at level 16, and evolves into Chesnaught at level 36. ",Quilladin
651,OvergrowBulletproof (hidden ability),107,239,70 (normal),"45 (5.9% with PokBall, full HP)",122, , Field ,"21 (minimum 5,355 steps)","87.5% male, 12.5% female",Medium Slow,88,5′3″ (1.60m),Burigaron,"003 (X,Y)",652,74,75,Spiny Armor Pokmon,64, Grass Fighting ,198.4 lbs (90.0 kg), Chesnaught is a Grass/Fighting type Pokmon introduced in Generation 6. It is known as the Spiny Armor Pokmon. Chesnaught evolves from Quilladin at level 36. ,Chesnaught
652,BlazeMagician (hidden ability),45,61,70 (normal),"45 (5.9% with PokBall, full HP)",40, 1 Special Attack, Field ,"21 (minimum 5,355 steps)","87.5% male, 12.5% female",Medium Slow,40,1′4″ (0.41m),Fokko,"004 (X,Y)",653,62,60,Fox Pokmon,60, Fire ,20.7 lbs (9.4 kg)," Fennekin is a Fire type Pokmon introduced in Generation 6. It is known as the Fox Pokmon. Fennekin can be temperamental, but it tries to do its best for its Trainer. Searing heat blows from its ears. This Pokmon loves to snack on twigs. Fennekin evolves into Braixen at level 16. ",Fennekin
653,BlazeMagician (hidden ability),59,143,70 (normal),"45 (5.9% with PokBall, full HP)",58, 2 Special Attack, Field ,"21 (minimum 5,355 steps)","87.5% male, 12.5% female",Medium Slow,59,3′3″ (0.99m),Teruna,"005 (X,Y)",654,90,70,Fox Pokmon,73, Fire ,32 lbs (14.5 kg)," Braixen is a Fire type Pokmon introduced in Generation 6. It is known as the Fox Pokmon. Braixen no longer eats branches but it still keeps a tree branch in its tail, which seems to calm the Pokmon. It will occasionally wield the branch in battle and use friction to light it on fire. Braixen evolves from Fennekin at level 16, and evolves into Delphox at level 36. ",Braixen
654,BlazeMagician (hidden ability),69,240,70 (normal),"45 (5.9% with PokBall, full HP)",72, 3 Special Attack, Field ,"21 (minimum 5,355 steps)","87.5% male, 12.5% female",Medium Slow,75,4′11″ (1.50m),Mafokushi,"006 (X,Y)",655,114,100,Fox Pokmon,104, Fire Psychic ,86 lbs (39.0 kg), Delphox is a Fire/Psychic type Pokmon introduced in Generation 6. It is known as the Fox Pokmon. Delphox evolves from Braixen at level 36. ,Delphox
655,TorrentProtean (hidden ability),56,63,70 (normal),"45 (5.9% with PokBall, full HP)",40, 1 Speed, Water 1 ,"21 (minimum 5,355 steps)","87.5% male, 12.5% female",Medium Slow,41,1′0″ (0.30m),Keromatsu,"007 (X,Y)",656,62,44,Bubble Frog Pokmon,71, Water ,15.4 lbs (7.0 kg)," Froakie is a Water type Pokmon introduced in Generation 6. It is known as the Bubble Frog Pokmon. Froakie is both light and strong, making it capable of jumping incredibly high. The bubbles on its chest and back protect it from attacks. Froakie may appear absentminded, but in truth it pays close attention to its surroundings at all times. Froakie evolves into Frogadier at level 16. ",Froakie
656,TorrentProtean (hidden ability),63,142,70 (normal),"45 (5.9% with PokBall, full HP)",52, 2 Speed, Water 1 ,"21 (minimum 5,355 steps)","87.5% male, 12.5% female",Medium Slow,54,2′0″ (0.61m),Gekogashira,"008 (X,Y)",657,83,56,Bubble Frog Pokmon,97, Water ,24 lbs (10.9 kg)," Frogadier is a Water type Pokmon introduced in Generation 6. It is known as the Bubble Frog Pokmon. During battle, Frogadier confounds its opponents by leaping about the ceiling or into trees. Its jumping skill improves greatly. Frogadier evolves from Froakie at level 16, and evolves into Greninja at level 36. ",Frogadier
657,TorrentProtean (hidden ability),95,239,70 (normal),"45 (5.9% with PokBall, full HP)",67, 3 Speed, Water 1 ,"21 (minimum 5,355 steps)","87.5% male, 12.5% female",Medium Slow,72,4′11″ (1.50m),Gekkoga,"009 (X,Y)",658,103,71,Ninja Pokmon,122, Water Dark ,88.2 lbs (40.0 kg), Greninja is a Water/Dark type Pokmon introduced in Generation 6. It is known as the Ninja Pokmon. Greninja evolves from Frogadier at level 36. Greninja has a new form Ash-Greninja introduced in Pokmon Sun/Moon. ,Greninja
658,Cheek PouchPickupHuge Power (hidden ability),36,47,70 (normal),"255 (33.3% with PokBall, full HP)",38, 1 Speed, Field ,"16 (minimum 4,080 steps)","50% male, 50% female",Medium Fast,38,1′4″ (0.41m),Horubi,"010 (X,Y)",659,32,36,Digging Pokmon,57, Normal ,11 lbs (5.0 kg)," Bunnelby is a Normal type Pokmon introduced in Generation 6. It is known as the Digging Pokmon. Bunnelby is based on a rabbit. It creates its den by digging in the ground with its large, shovel-shaped ears. They are strong enough to chop right through thick tree roots. Bunnelby evolves into Diggersby at level 20. ",Bunnelby
659,Cheek PouchPickupHuge Power (hidden ability),56,148,70 (normal),"127 (16.6% with PokBall, full HP)",77, 2 Attack, Field ,"16 (minimum 4,080 steps)","50% male, 50% female",Medium Fast,85,3′3″ (0.99m),Horudo,"011 (X,Y)",660,50,77,Digging Pokmon,78, Normal Ground ,93.5 lbs (42.4 kg), Diggersby is a Normal/Ground type Pokmon introduced in Generation 6. It is known as the Digging Pokmon. Diggersby evolves from Bunnelby at level 20. ,Diggersby
660,Big PecksGale Wings (hidden ability),50,56,70 (normal),"255 (33.3% with PokBall, full HP)",43, 1 Speed, Flying ,"16 (minimum 4,080 steps)","50% male, 50% female",Medium Slow,45,1′0″ (0.30m),Yayakoma,"014 (X,Y)",661,40,38,Tiny Robin Pokmon,62, Normal Flying ,3.7 lbs (1.7 kg)," Fletchling is a Normal/Flying type Pokmon introduced in Generation 6. It is known as the Tiny Robin Pokmon. It has a friendly nature and a beautiful chirp, but Fletchling is also known to be ferocious in battle, capable of unleashing relentless attacks. It evolves into Fletchinder at level 17. ",Fletchling
661,Flame BodyGale Wings (hidden ability),73,134,70 (normal),"120 (15.7% with PokBall, full HP)",55, 2 Speed, Flying ,"16 (minimum 4,080 steps)","50% male, 50% female",Medium Slow,62,2′4″ (0.71m),Hinoyakoma,"015 (X,Y)",662,56,52,Ember Pokmon,84, Fire Flying ,35.3 lbs (16.0 kg), Fletchinder is a Fire/Flying type Pokmon introduced in Generation 6. It is known as the Ember Pokmon. Fletchinder evolves from Fletchling at level 17 and evolves into Talonflame at level 35. ,Fletchinder
662,Flame BodyGale Wings (hidden ability),81,175,70 (normal),"45 (5.9% with PokBall, full HP)",71, 3 Speed, Flying ,"16 (minimum 4,080 steps)","50% male, 50% female",Medium Slow,78,3′11″ (1.19m),Faiaro,"016 (X,Y)",663,74,69,Scorching Pokmon,126, Fire Flying ,54 lbs (24.5 kg)," Talonflame is a Fire/Flying type Pokmon introduced in Generation 6. It is known as the Scorching Pokmon. It dives at foes, and then attacks with devastating kicks. It evolves from Fletchinder at level 35. ",Talonflame
663,Compound EyesShield DustFriend Guard (hidden ability),35,40,70 (normal),"255 (33.3% with PokBall, full HP)",40, 1 Defense, Bug ,"16 (minimum 4,080 steps)","50% male, 50% female",Medium Fast,38,1′0″ (0.30m),Kofukimushi,"020 (X,Y)",664,27,25,Scatterdust Pokmon,35, Bug ,5.5 lbs (2.5 kg), Scatterbug is a Bug type Pokmon introduced in Generation 6. It is known as the Scatterdust Pokmon. Scatterbug resides mostly in forests and wild plains. It uses the fur around its neck to control its body temperature. ,Scatterbug
664,Shed SkinFriend Guard (hidden ability),22,75,70 (normal),"120 (15.7% with PokBall, full HP)",60, 2 Defense, Bug ,"16 (minimum 4,080 steps)","50% male, 50% female",Medium Fast,45,1′0″ (0.30m),Kofurai,"021 (X,Y)",665,27,30,Scatterdust Pokmon,29, Bug ,18.5 lbs (8.4 kg), Spewpa is a Bug type Pokmon introduced in Generation 6. It is known as the Scatterdust Pokmon. ,Spewpa
